
2025/01/03 (15:28:40) | ===> btop++ v.1.4.0
2025/01/03 (15:28:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (15:33:43) | ===> btop++ v.1.4.0
2025/01/03 (15:33:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (11:32:35) | ===> btop++ v.1.4.0
2025/01/07 (11:32:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (11:32:38) | ===> btop++ v.1.4.0
2025/01/07 (11:32:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (08:50:01) | ===> btop++ v.1.4.0
2025/02/17 (08:50:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/17 (08:50:03) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (18:02:11) | ===> btop++ v.1.4.0
2025/02/23 (18:02:11) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/23 (18:02:13) | WARNING: Failed to join _runner thread on exit!
